"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FF","2017-11-01","94.0","-1.6578","5.5055","Lance McCullers Jr.",605131,621121,"null","called_strike",,,,,"8","null","W","R","R","LAD","HOU","S","null","null",1,0,2017,"-1.2529","1.2061","-0.2195","1.8454","null","null","523253.00",0,2,"Bot","null","null",,,435263,,"171102_011715",,,,,,,"3.2276","1.5024","null","null","null","93.1130","2334","5.9020",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.5977","0.000","0.000","null","null","null","null","null",19,"2"
"CH","2017-11-01","88.0","-1.7745","5.7821","Lance McCullers Jr.",605131,621121,"null","ball",,,,,"13","null","W","R","R","LAD","HOU","B","null","null",0,0,2017,"-1.3039","1.1910","-1.4914","1.2612","null","null","523253.00",0,2,"Bot","null","null",,,435263,,"171102_011652",,,,,,,"3.2280","1.4714","null","null","null","86.3650","1945","5.6460",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.8541","0.000","0.000","null","null","null","null","null",19,"1"
"FF","2017-11-01","92.1","-1.6914","5.7282","Lance McCullers Jr.",523253,621121,"single","hit_into_play_no_out",,,,,"5","Logan Forsythe singles on a ground ball to left fielder Marwin Gonzalez.  ","W","R","R","LAD","HOU","X","null","ground_ball",1,0,2017,"-1.0429","1.4859","0.1512","2.4056","null","null","null",0,2,"Bot","86.11","95.31",,,435263,,"171102_011614",,,,,,,"3.4702","1.7051","34","102.0","-2.1230","90.9750","2349","5.8230",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.6765","0.431","0.401","0.90",1,1,0,2,18,"2"
"FF","2017-11-01","91.5","-1.8214","6.1202","Lance McCullers Jr.",523253,621121,"null","ball",,,,,"11","null","W","R","R","LAD","HOU","B","null","null",0,0,2017,"-1.3520","1.9812","-0.9964","3.3045","null","null","null",0,2,"Bot","null","null",,,435263,,"171102_011550",,,,,,,"3.5007","1.7256","null","null","null","89.7580","2293","5.6270",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.8729","0.000","0.000","null","null","null","null","null",18,"1"
"FF","2017-11-01","95.8","-2.6194","5.4297","Yu Darvish",543807,506433,"home_run","hit_into_play_score",,,,,"8","George Springer homers (5) on a line drive to center field.   Marwin Gonzalez scores.  ","W","R","R","LAD","HOU","X","null","line_drive",3,2,2017,"-0.2560","1.7014","-0.0417","2.1081","503556.00","null","null",2,2,"Top","98.36","15.09",,,605131,,"171102_010759",,,,,,,"3.5576","1.6722","438","110.3","19.8810","96.3900","2503","6.4400",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.0601","0.916","1.555","2.00",1,0,3,6,16,"6"
"SL","2017-11-01","83.8","-2.7816","5.2145","Yu Darvish",543807,506433,"null","swinging_strike",,,,,"5","null","W","R","R","LAD","HOU","S","null","null",3,1,2017,"1.2181","0.1627","-0.2461","2.8926","503556.00","null","null",2,2,"Top","null","null",,,605131,,"171102_010721",,,,,,,"3.5781","1.6722","null","null","null","83.2590","2522","5.7860",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.7132","0.000","0.000","null","null","null","null","null",16,"5"
"CU","2017-11-01","71.8","-2.0304","5.3768","Yu Darvish",543807,506433,"null","ball",,,,,"14","null","W","R","R","LAD","HOU","B","null","null",2,1,2017,"1.2895","-0.5057","1.5143","1.2207","503556.00","null","null",2,2,"Top","null","null",,,605131,,"171102_010652",,,,,,,"3.4752","1.6002","null","null","null","70.7070","2347","5.9140",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.5853","0.000","0.000","null","null","null","null","null",16,"4"
"FT","2017-11-01","94.7","-2.7719","5.4339","Yu Darvish",543807,506433,"null","called_strike",,,,,"14","null","W","R","R","LAD","HOU","S","null","null",2,0,2017,"-1.0725","1.1375","0.1980","1.4054","503556.00","null","null",2,2,"Top","null","null",,,605131,,"171102_010611",,,,,,,"3.4648","1.6513","null","null","null","94.1450","2310","6.1060",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.3939","0.000","0.000","null","null","null","null","null",16,"3"
"FT","2017-11-01","93.4","-2.6420","5.2004","Yu Darvish",543807,506433,"null","ball",,,,,"13","null","W","R","R","LAD","HOU","B","null","null",1,0,2017,"-1.0777","0.7811","-0.2918","1.2582","503556.00","null","null",2,2,"Top","null","null",,,605131,,"171102_010546",,,,,,,"3.5572","1.6002","null","null","null","93.5550","2182","6.4020",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.0980","0.000","0.000","null","null","null","null","null",16,"2"
"SL","2017-11-01","79.2","-2.3556","5.4366","Yu Darvish",543807,506433,"null","blocked_ball",,,,,"14","null","W","R","R","LAD","HOU","B","null","null",0,0,2017,"0.8013","-0.5430","1.5248","-0.1626","503556.00","null","null",2,2,"Top","null","null",,,605131,,"171102_010513",,,,,,,"3.5367","1.6412","null","null","null","77.6010","2612","5.5080",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.9911","0.000","0.000","null","null","null","null","null",16,"1"
"SL","2017-11-01","82.7","-2.6679","5.1827","Yu Darvish",621121,506433,"field_out","hit_into_play_score",,,,,"6","Lance McCullers Jr.   grounds out softly, second baseman Logan Forsythe to first baseman Cody Bellinger.   Brian McCann scores.    Marwin Gonzalez to 3rd.  ","W","L","R","LAD","HOU","X","4","ground_ball",1,1,2017,"1.6468","0.6709","0.3512","2.6325","435263.00","503556.00","null",1,2,"Top","138.84","168.82",,,605131,,"171102_010424",,,,,,,"3.6751","1.7662","4","74.1","-32.9510","81.6130","2528","5.5560",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.9435","0.054","0.050","0.00",1,0,0,2,15,"3"
"FF","2017-11-01","94.4","-2.4763","5.2740","Yu Darvish",621121,506433,"null","foul",,,,,"11","null","W","L","R","LAD","HOU","S","null","null",1,0,2017,"-0.1930","1.5465","-0.9237","3.2088","435263.00","503556.00","null",1,2,"Top","null","null",,,605131,,"171102_010356",,,,,,,"3.6341","1.7047","null","null","null","94.7350","2384","6.4620",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.0374","0.000","0.000","null","null","null","null","null",15,"2"
"FF","2017-11-01","94.1","-2.4802","5.4425","Yu Darvish",621121,506433,"null","ball",,,,,"11","null","W","L","R","LAD","HOU","B","null","null",0,0,2017,"-0.4586","1.8283","-1.7151","3.1402","435263.00","503556.00","null",1,2,"Top","null","null",,,605131,,"171102_010336",,,,,,,"3.5893","1.7437","null","null","null","93.9180","2385","6.2000",526517,506433,605131,641355,523253,457759,608369,592626,621035,624577,"54.2997","0.000","0.000","null","null","null","null","null",15,"1"
